"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701533435323000E9,"2023-12-02 11:10:35.323 UTC-05:00"
"PAUSE",3.216055237500041E1,1.701533467484000E9,"2023-12-02 11:11:07.484 UTC-05:00"
