"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701535457309000E9,"2023-12-02 11:44:17.309 UTC-05:00"
"PAUSE",5.073187833333577E1,1.701535508041000E9,"2023-12-02 11:45:08.041 UTC-05:00"
