"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701535460867000E9,"2023-12-02 11:44:20.867 UTC-05:00"
"PAUSE",4.631175341666676E1,1.701535507179000E9,"2023-12-02 11:45:07.179 UTC-05:00"
