"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701530330599000E9,"2023-12-02 10:18:50.599 UTC-05:00"
"PAUSE",6.121605637500034E1,1.701530391816000E9,"2023-12-02 10:19:51.816 UTC-05:00"
