"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701534901676000E9,"2023-12-02 11:35:01.676 UTC-05:00"
"PAUSE",6.262611662497511E1,1.701534964302000E9,"2023-12-02 11:36:04.302 UTC-05:00"
