"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.858574167E-1,-1.134631732E-1,1.457333899E-1,7.938179970E-3,1.848651598E-1
5.957864167E-1,-1.192975981E-1,1.305172720E-1,6.047365844E-2,1.868789409E-1
6.057144167E-1,-1.205348050E-1,1.527199538E-1,-1.588571548E-2,1.952034310E-1
6.156434167E-1,-9.618554631E-2,1.271797910E-1,6.673485696E-2,1.728580333E-1
6.255714167E-1,-1.586764393E-1,1.446357031E-1,1.148510098E-2,2.150107127E-1
6.355004167E-1,-8.050434633E-2,1.475350815E-1,2.240243733E-2,1.695565371E-1
6.454284167E-1,-1.441072610E-1,1.302920263E-1,3.122062325E-2,1.967679906E-1
6.553574167E-1,-1.082733947E-1,1.477143352E-1,9.657261372E-3,1.834009693E-1
6.652854167E-1,-1.129201222E-1,1.188811119E-1,2.716265559E-2,1.661971198E-1
6.752144167E-1,-1.296723950E-1,1.512782497E-1,-8.925189972E-3,1.994484843E-1
6.851424167E-1,-8.861781486E-2,1.298142540E-1,4.870087445E-2,1.645497883E-1
6.950714167E-1,-1.619661560E-1,1.471875925E-1,2.862855256E-2,2.207188643E-1
7.050004167E-1,-7.370612673E-2,1.457590812E-1,2.722463608E-3,1.633576281E-1
7.149284167E-1,-1.538483203E-1,1.229842493E-1,4.327407360E-2,2.016607961E-1
7.248574167E-1,-1.039194757E-1,1.621051735E-1,1.167981327E-2,1.929086902E-1
7.347854167E-1,-1.168950685E-1,1.333926220E-1,4.101354003E-2,1.820443878E-1
7.447144167E-1,-1.292133521E-1,1.552765210E-1,-2.666213393E-2,2.037590678E-1
7.546424167E-1,-9.052277377E-2,1.293885219E-1,5.161921978E-2,1.661333982E-1
7.645714167E-1,-1.554280187E-1,1.328114088E-1,9.092420340E-3,2.046445978E-1
7.744994167E-1,-8.052309397E-2,1.470093986E-1,1.313284636E-2,1.681315068E-1
7.844284167E-1,-1.525824803E-1,1.354357671E-1,2.764329672E-2,2.058844631E-1
7.943564167E-1,-1.043439653E-1,1.540041669E-1,2.194460034E-2,1.873139397E-1
8.042854167E-1,-1.113317078E-1,1.174958334E-1,2.537925482E-2,1.638417731E-1
8.142134167E-1,-1.440991480E-1,1.471934214E-1,-6.071164012E-3,2.060760219E-1
8.241424167E-1,-9.030992598E-2,1.322288617E-1,3.628489673E-2,1.641857129E-1
8.340704167E-1,-1.442448807E-1,1.423943740E-1,7.830591202E-3,2.028399899E-1
8.439994167E-1,-8.229306442E-2,1.287086186E-1,3.935760856E-3,1.528186741E-1
8.539274167E-1,-1.458638011E-1,1.107791185E-1,2.907469511E-2,1.854551144E-1
8.638564167E-1,-1.091171845E-1,1.451947700E-1,-8.504775167E-3,1.818252249E-1
8.737844167E-1,-1.125494087E-1,1.121511677E-1,3.699533343E-2,1.631376980E-1
8.837134167E-1,-1.362567801E-1,1.354284581E-1,-7.626523376E-3,1.922626881E-1
8.936414167E-1,-9.127874566E-2,1.263377919E-1,5.598708987E-2,1.656128054E-1
9.035704167E-1,-1.419978049E-1,1.359916911E-1,-2.186858654E-2,1.978265698E-1
9.134994167E-1,-7.626146961E-2,1.268097536E-1,2.812276840E-2,1.506234226E-1
9.234274167E-1,-1.499436776E-1,1.254258090E-1,2.915947974E-2,1.976487168E-1
9.333564167E-1,-1.041897815E-1,1.316712200E-1,3.555691838E-3,1.679448234E-1
9.432844167E-1,-1.075647031E-1,1.157001717E-1,2.495474696E-2,1.599357198E-1
9.532134167E-1,-1.436813918E-1,1.326868266E-1,1.596465290E-2,1.962269259E-1
9.631414167E-1,-9.186132934E-2,1.272237730E-1,2.045472980E-2,1.582491334E-1
9.730704167E-1,-1.424914560E-1,1.312815762E-1,7.269258499E-3,1.938852996E-1
9.829984167E-1,-8.182942590E-2,1.409665753E-1,1.250251651E-2,1.634745950E-1
9.929274167E-1,-1.407687019E-1,1.239834836E-1,4.258234799E-2,1.923564088E-1
1.002855417E0,-9.944726025E-2,1.481792985E-1,-4.724023998E-2,1.846036358E-1
1.012784417E0,-1.073551535E-1,1.100550687E-1,2.221006393E-2,1.553400595E-1
1.022712417E0,-1.414078117E-1,1.335187209E-1,-3.348232627E-2,1.973435689E-1
1.032641417E0,-8.721276549E-2,1.064485792E-1,3.447459877E-2,1.418656563E-1
1.042569417E0,-1.508603748E-1,1.275553284E-1,2.279829383E-3,1.975712836E-1
1.052498417E0,-8.489671078E-2,1.279108391E-1,1.350648344E-2,1.541137870E-1
1.062426417E0,-1.484640488E-1,1.095484989E-1,2.143179953E-2,1.857465193E-1
1.072355417E0,-1.070691698E-1,1.325102407E-1,7.052326798E-3,1.705066166E-1
1.082283417E0,-1.156914009E-1,1.069978338E-1,1.063959360E-2,1.579437800E-1
1.092212417E0,-1.425412487E-1,1.258435925E-1,-1.198094487E-3,1.901474502E-1
1.102140417E0,-8.763075918E-2,1.212450863E-1,2.169901729E-2,1.511633827E-1
1.112069417E0,-1.451754833E-1,1.176137462E-1,-6.145423651E-4,1.868402845E-1
1.121997417E0,-8.888190801E-2,1.261998524E-1,-1.968172789E-3,1.543705608E-1
1.131926417E0,-1.366821559E-1,1.043802181E-1,4.996387303E-2,1.790911228E-1
1.141854417E0,-1.025919933E-1,1.344994634E-1,-7.825913429E-3,1.693412758E-1
1.151783417E0,-1.101901120E-1,1.046068342E-1,5.159583092E-2,1.604574097E-1
1.161711417E0,-1.541171460E-1,1.313126213E-1,-1.248672903E-2,2.028571359E-1
1.171640417E0,-8.431119435E-2,1.189629729E-1,7.163482368E-2,1.624565000E-1
1.181568417E0,-1.569669328E-1,1.280098398E-1,7.405498624E-3,2.026819638E-1
1.191497417E0,-8.182415427E-2,1.171007261E-1,2.626218438E-2,1.452496974E-1
1.201425417E0,-1.523008090E-1,1.079352155E-1,1.323049486E-2,1.871378988E-1
1.211354417E0,-1.062996305E-1,1.349591459E-1,5.438495278E-3,1.718812374E-1
1.221282417E0,-1.233372566E-1,1.065754273E-1,3.866412878E-2,1.675270588E-1
1.231211417E0,-1.390011343E-1,1.306458011E-1,8.120028377E-3,1.909334322E-1
1.241139417E0,-8.547845392E-2,1.182293118E-1,4.419267118E-2,1.524392615E-1
1.251068417E0,-1.510602308E-1,1.165418236E-1,1.065128803E-2,1.910880423E-1
1.260996417E0,-9.439167537E-2,1.282457201E-1,5.016384780E-2,1.669525823E-1
1.270925417E0,-1.408431899E-1,9.999168171E-2,4.057675302E-2,1.774305877E-1
1.280853417E0,-1.120335473E-1,1.347785949E-1,-3.158139646E-2,1.780847269E-1
1.290782417E0,-1.121657309E-1,9.760585327E-2,4.236249268E-2,1.546047689E-1
1.300711417E0,-1.538946595E-1,1.259677545E-1,1.091558218E-2,1.991747758E-1
1.310639417E0,-7.531293246E-2,1.261464052E-1,4.070012927E-2,1.524514804E-1
1.320567417E0,-1.672519293E-1,1.242023522E-1,2.963953614E-3,2.083463874E-1
1.330496417E0,-8.675267184E-2,1.218105852E-1,3.349928319E-2,1.532515798E-1
1.340424417E0,-1.525812195E-1,1.140959881E-1,2.929805875E-2,1.927622870E-1
1.350353417E0,-1.066376727E-1,1.280971277E-1,-2.744683027E-3,1.666973325E-1
1.360285875E0,-1.219319058E-1,9.074007092E-2,5.098947465E-2,1.603155533E-1
1.370213875E0,-1.415495336E-1,1.265780028E-1,2.027229667E-3,1.899009503E-1
1.380142875E0,-8.417330056E-2,1.136959289E-1,2.537457705E-2,1.437211813E-1
1.390070875E0,-1.554076082E-1,1.182050824E-1,1.218910575E-2,1.956336896E-1
1.399999875E0,-9.267481408E-2,1.234936514E-1,2.295909226E-2,1.560974792E-1
1.409927875E0,-1.309625649E-1,1.127597349E-1,3.612175941E-2,1.765523512E-1
1.419856875E0,-1.105437772E-1,1.256288718E-1,-1.478585422E-2,1.679915522E-1
1.429784875E0,-1.060229019E-1,9.756494103E-2,4.897686303E-2,1.521791923E-1
1.439713875E0,-1.420996652E-1,1.262280470E-1,-1.285568833E-2,1.905022399E-1
1.449641875E0,-8.116685414E-2,1.143231525E-1,2.231882215E-2,1.419717268E-1
1.459570875E0,-1.672058459E-1,1.154384723E-1,1.063199222E-2,2.034622202E-1
1.469498875E0,-8.495960489E-2,1.245002861E-1,7.782644033E-3,1.509272184E-1
1.479427875E0,-1.360342844E-1,1.005818302E-1,3.276955068E-2,1.723249099E-1
1.489355875E0,-1.109391678E-1,1.249068686E-1,-1.701539755E-4,1.670606289E-1
1.499284875E0,-1.152050953E-1,1.004728893E-1,3.290871441E-2,1.563649543E-1
1.509212875E0,-1.384817005E-1,1.231326955E-1,1.169443130E-4,1.853074627E-1
1.519141875E0,-8.096457702E-2,1.110538645E-1,3.304553926E-2,1.413514458E-1
1.529069875E0,-1.573899423E-1,1.117775854E-1,1.043143272E-2,1.933252113E-1
1.538998875E0,-9.550078254E-2,1.165526592E-1,-9.782976508E-3,1.509987698E-1
1.548926875E0,-1.443439453E-1,9.573002994E-2,1.939930737E-2,1.742863916E-1
1.558855875E0,-1.314903766E-1,1.161013821E-1,9.805780649E-4,1.754143996E-1
1.568783875E0,-1.087305556E-1,9.839553801E-2,2.507929265E-2,1.487715919E-1
1.578712875E0,-1.402350338E-1,1.239393189E-1,-1.250368595E-2,1.875717506E-1
1.588640875E0,-7.488139881E-2,9.884380018E-2,-2.927116156E-3,1.240398675E-1
1.598569875E0,-1.526972867E-1,1.069750479E-1,-7.578576207E-3,1.865946330E-1
1.608497875E0,-7.197736088E-2,1.092366596E-1,-2.045356035E-3,1.308341383E-1
1.618426875E0,-1.330750543E-1,9.927505061E-2,3.252221346E-2,1.691809685E-1
1.628354875E0,-1.144725854E-1,1.260131253E-1,8.862624764E-3,1.704752963E-1
1.638283875E0,-1.153109116E-1,1.010364147E-1,4.867631614E-2,1.608550502E-1
1.648211875E0,-1.326630723E-1,1.175562973E-1,-2.797307968E-2,1.794476719E-1
1.658140875E0,-9.382690743E-2,1.115921190E-1,2.516349256E-2,1.479509748E-1
1.668068875E0,-1.573798375E-1,1.085317412E-1,-1.241714716E-2,1.915769758E-1
1.677997875E0,-8.596465903E-2,1.242089486E-1,-8.976060748E-3,1.513220248E-1
1.687925875E0,-1.334656209E-1,9.752770158E-2,4.849739134E-2,1.722693284E-1
1.697854875E0,-1.278468486E-1,1.200656207E-1,1.106877923E-2,1.757358468E-1
1.707782875E0,-1.037010822E-1,8.794755036E-2,2.857768178E-2,1.389437655E-1
1.717711875E0,-1.385620540E-1,1.180669236E-1,1.135003030E-2,1.823953521E-1
1.727639875E0,-9.388131394E-2,1.071775626E-1,4.353193581E-2,1.489824166E-1
1.737568875E0,-1.644940169E-1,9.451816709E-2,9.242693782E-3,1.899404983E-1
1.747496875E0,-8.557140637E-2,1.171545113E-1,7.741128802E-3,1.452844458E-1
1.757425875E0,-1.400312583E-1,9.550649271E-2,5.054800987E-2,1.768766371E-1
1.767353875E0,-1.162834863E-1,1.063789060E-1,-1.083138227E-2,1.579735411E-1
1.777282875E0,-1.110009107E-1,9.430326364E-2,5.592920244E-2,1.560204583E-1
1.787210875E0,-1.401188295E-1,1.180332108E-1,3.078559041E-3,1.832337381E-1
1.797138875E0,-9.790448153E-2,1.019429889E-1,5.382595897E-2,1.512444854E-1
1.807067875E0,-1.614377504E-1,1.067222106E-1,2.324852943E-3,1.935385813E-1
1.816996875E0,-8.470819289E-2,1.278889486E-1,1.864209294E-2,1.545269839E-1
1.826924875E0,-1.418559916E-1,8.672918248E-2,4.827519715E-2,1.731345376E-1
1.836852875E0,-1.320294990E-1,1.115900542E-1,3.360219419E-2,1.761057531E-1
1.846781875E0,-1.167803078E-1,9.428243293E-2,5.021647274E-2,1.582672158E-1
1.856709875E0,-1.542378362E-1,1.153951572E-1,-3.076804876E-3,1.926520676E-1
1.866638875E0,-9.207531916E-2,1.035751295E-1,3.389806330E-2,1.426700759E-1
1.876566875E0,-1.561678742E-1,1.080978778E-1,2.775263965E-2,1.919472977E-1
1.886495875E0,-8.920910541E-2,1.108984200E-1,-7.723002434E-3,1.425355002E-1
1.896423875E0,-1.443698284E-1,8.700780231E-2,5.619174242E-2,1.776809414E-1
1.906352875E0,-1.202307863E-1,1.267610207E-1,-3.538150191E-3,1.747464359E-1
1.916280875E0,-1.064186579E-1,8.336635740E-2,6.292539597E-2,1.491123260E-1
1.926209875E0,-1.471937046E-1,1.236899168E-1,-1.521913290E-2,1.928647304E-1
1.936137875E0,-9.350738450E-2,9.576705926E-2,4.466220260E-2,1.411016404E-1
