"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.800825000E-1,-4.132992921E-1,4.440330251E-1,-5.529735231E-1,8.208296714E-1
6.900125000E-1,-3.730132188E-1,5.116398846E-1,-2.094922882E-1,6.669342185E-1
6.999415000E-1,-3.373684460E-1,5.295853914E-1,-1.305145311E-1,6.413362597E-1
7.098705000E-1,-2.573693996E-1,6.055239486E-1,-4.544695741E-1,7.996504573E-1
7.197995000E-1,-3.079459147E-1,4.135111441E-1,2.963234407E-1,5.946677510E-1
7.297285000E-1,-1.870527942E-1,2.724602227E-1,-1.945175689E-1,3.834845569E-1
7.396585000E-1,-3.389163502E-1,2.271914628E-1,-3.921715844E-1,5.659318023E-1
7.495875000E-1,-2.400144250E-1,1.164783265E-1,-5.652982843E-1,6.250890137E-1
7.595165000E-1,-3.360346230E-1,1.058153258E-1,-4.713709509E-1,5.884783126E-1
7.694455000E-1,-3.973283169E-1,2.527020790E-1,-6.123929286E-1,7.724980461E-1
7.793745000E-1,-4.259603413E-1,2.465312382E-1,-6.380341387E-1,8.057961441E-1
7.893045000E-1,-3.706215614E-1,2.906141462E-1,3.032091218E-1,5.601363185E-1
7.992335000E-1,-2.267186606E-1,2.264381222E-1,-5.452177763E-1,6.324065131E-1
8.091625000E-1,-4.178519342E-1,-2.125091957E-2,-6.852971828E-1,8.029222062E-1
8.190915000E-1,-1.142586504E-1,-8.101759482E-2,1.310606611E-1,1.918222790E-1
8.290205000E-1,-2.478174247E-1,-1.880546232E-1,-5.422865671E-1,6.251821640E-1
8.389505000E-1,-5.649130990E-1,-1.795130654E-1,3.365072608E-3,5.927588664E-1
8.488795000E-1,-3.138276654E-1,-1.438779953E-1,-1.003920150E-1,3.595375332E-1
8.588085000E-1,-7.448839648E-1,-2.176732373E-1,-1.335597610E-1,7.874464865E-1
8.687375000E-1,-4.933042588E-1,-2.056384798E-1,1.986357629E-2,5.348185092E-1
8.786665000E-1,-4.943590235E-1,-2.660932627E-1,-1.893129623E-1,5.924827982E-1
8.885965000E-1,-5.179864159E-1,-3.475718008E-1,-4.329278469E-2,6.252922109E-1
8.985255000E-1,-2.357904695E-1,-4.279459826E-1,5.876808411E-1,7.642667601E-1
9.084545000E-1,-3.558216739E-1,-4.305206944E-1,-6.875682414E-2,5.627473970E-1
9.183835000E-1,-3.391937275E-1,-4.638838837E-1,3.680278462E-1,6.824112674E-1
9.283125000E-1,-2.322897415E-1,-4.657536040E-1,7.479582846E-1,9.112225519E-1
9.382415000E-1,-3.451295285E-1,-3.930642715E-1,1.229388785E-1,5.373340495E-1
9.481715000E-1,-3.856884109E-1,-4.194190246E-1,1.654598308E-1,5.933336533E-1
9.581005000E-1,-2.432186261E-1,-5.088934109E-1,3.585267055E-1,6.683331522E-1
9.680295000E-1,-4.251278074E-1,-5.726904074E-1,3.122284520E-1,7.785849739E-1
9.779585000E-1,-2.579082936E-1,-5.394466110E-1,3.000124490E-1,6.689744417E-1
9.878875000E-1,-2.628976862E-1,-4.615497483E-1,1.008937646E0,1.140218635E0
9.978175000E-1,-2.831627104E-1,-5.302283659E-1,8.303607559E-1,1.025096203E0
1.007746500E0,-1.435666128E-1,-5.781068294E-1,9.398580551E-2,6.030358283E-1
1.017675500E0,-1.673784849E-1,-5.977189024E-1,7.947365946E-1,1.008409489E0
1.027604500E0,-7.878509134E-2,-6.255737221E-1,5.713232553E-1,8.508582928E-1
1.037533500E0,-1.056472366E-1,-5.869045501E-1,3.912196577E-1,7.132118269E-1
1.047463500E0,-4.862833243E-2,-5.945446683E-1,8.203000367E-1,1.014268321E0
1.057392500E0,-1.404248673E-1,-6.134047893E-1,8.215788227E-1,1.034879868E0
1.067321500E0,-1.043649422E-1,-6.020926562E-1,4.449187320E-1,7.558837781E-1
1.077250500E0,-6.913784333E-2,-7.040429907E-1,5.137077159E-1,8.742723783E-1
1.087179500E0,-8.574426468E-2,-6.790201237E-1,1.721174705E-1,7.057229137E-1
1.097109500E0,-1.613513212E-1,-6.445208205E-1,8.700610113E-1,1.094736270E0
1.107038500E0,-9.101713758E-2,-4.014330989E-1,4.801020133E-1,6.324006605E-1
1.116967500E0,-2.003679275E-1,-2.948729840E-1,5.475917459E-1,6.534172505E-1
1.126896500E0,-2.586792490E-1,-3.424157991E-1,8.765584373E-1,9.759704030E-1
1.136825500E0,-1.186509691E-2,-3.945205936E-1,-3.909682274E-2,3.966306101E-1
1.146755500E0,-2.771566332E-1,-3.895015264E-1,6.292229694E-1,7.902207183E-1
1.156684500E0,-5.085937411E-2,-4.049877309E-1,1.301040566E-1,4.284026186E-1
1.166613500E0,-3.248023776E-1,-3.597200491E-1,-1.629092753E-2,4.849334929E-1
