"Time (s)","Recording (a.u.)"
3.062500000E-3,-9.734088555E-3
3.083333333E-3,-9.191171266E-3
3.104166667E-3,-8.812002838E-3
3.125000000E-3,-8.682720363E-3
3.145833333E-3,-8.351622149E-3
3.166666667E-3,-8.242912591E-3
3.187500000E-3,-8.434969932E-3
3.208333333E-3,-8.926386014E-3
3.229166667E-3,-9.721456096E-3
3.250000000E-3,-1.047990751E-2
3.270833333E-3,-1.114487462E-2
3.291666667E-3,-1.156403217E-2
3.312500000E-3,-1.202449761E-2
3.333333333E-3,-1.228086650E-2
3.354166667E-3,-1.209181175E-2
3.375000000E-3,-1.155067515E-2
3.395833333E-3,-1.091912575E-2
3.416666667E-3,-1.052348781E-2
3.437500000E-3,-9.894497693E-3
3.458333333E-3,-9.073137306E-3
3.479166667E-3,-8.340792730E-3
3.500000000E-3,-7.960803807E-3
3.520833333E-3,-7.686691359E-3
3.541666667E-3,-7.126778364E-3
3.562500000E-3,-6.896015257E-3
3.583333333E-3,-6.844450720E-3
3.604166667E-3,-6.482869387E-3
3.625000000E-3,-5.852767732E-3
3.645833333E-3,-5.139955785E-3
3.666666667E-3,-5.099681672E-3
3.687500000E-3,-5.691305734E-3
3.708333333E-3,-6.096554920E-3
3.729166667E-3,-6.484380458E-3
3.750000000E-3,-6.770946085E-3
3.770833333E-3,-6.944803521E-3
3.791666667E-3,-7.379191928E-3
3.812500000E-3,-7.469709963E-3
3.833333333E-3,-7.418213412E-3
3.854166667E-3,-7.470031269E-3
3.875000000E-3,-7.391571999E-3
3.895833333E-3,-7.424662821E-3
3.916666667E-3,-7.187663577E-3
3.937500000E-3,-6.658845115E-3
3.958333333E-3,-5.684982985E-3
3.979166667E-3,-4.369432572E-3
4.000000000E-3,-3.288783599E-3
4.020833333E-3,-2.319995314E-3
4.041666667E-3,-1.827412751E-3
4.062500000E-3,-1.519044046E-3
4.083333333E-3,-1.056018402E-3
4.104166667E-3,-8.903605631E-4
4.125000000E-3,-1.047068508E-3
4.145833333E-3,-1.379938913E-3
4.166666667E-3,-1.527457847E-3
4.187500000E-3,-1.445391681E-3
4.208333333E-3,-1.004543621E-3
4.229166667E-3,-3.328592575E-4
4.250000000E-3,-7.649653708E-5
4.270833333E-3,-1.610921172E-4
