"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.429687500E3,1.710729145E-1
4.453125000E3,9.533689064E-2
4.476562500E3,1.215789595E-1
4.500000000E3,1.061763152E-1
4.523437500E3,8.028509705E-2
4.546875000E3,4.523852324E-2
4.570312500E3,7.815709691E-2
4.593750000E3,3.912304395E-2
4.617187500E3,6.328388995E-2
4.640625000E3,2.973825382E-2
4.664062500E3,2.513808915E-2
4.687500000E3,1.871718710E-2
4.710937500E3,6.914993263E-2
4.734375000E3,5.640421900E-2
4.757812500E3,3.804407034E-2
4.781250000E3,6.086325712E-2
4.804687500E3,5.044634369E-2
4.828125000E3,3.555197719E-2
4.851562500E3,3.848065658E-2
4.875000000E3,6.680918528E-2
4.898437500E3,6.571476357E-2
4.921875000E3,5.004191725E-2
4.945312500E3,1.766869544E-2
4.968750000E3,6.124858370E-2
4.992187500E3,1.146013147E-1
5.015625000E3,8.294974328E-2
5.039062500E3,7.202637829E-2
5.062500000E3,9.855974644E-2
5.085937500E3,6.602692944E-2
5.109375000E3,8.267394080E-2
5.132812500E3,6.447708724E-2
5.156250000E3,3.654497478E-2
5.179687500E3,1.821626252E-2
5.203125000E3,3.065380240E-2
5.226562500E3,3.101789492E-2
5.250000000E3,1.858511602E-2
5.273437500E3,9.699369357E-3
5.296875000E3,2.607691029E-2
5.320312500E3,2.432462819E-2
5.343750000E3,4.270743972E-2
5.367187500E3,2.962497040E-2
5.390625000E3,3.881357886E-2
5.414062500E3,4.942436533E-2
5.437500000E3,1.558497224E-2
5.460937500E3,2.537907489E-2
5.484375000E3,2.030355472E-2
5.507812500E3,2.558662507E-2
5.531250000E3,3.560116207E-2
5.554687500E3,6.793997588E-2
5.578125000E3,7.223495765E-2
5.601562500E3,1.008553201E-1
5.625000000E3,5.640347060E-2
5.648437500E3,7.195671075E-2
5.671875000E3,7.792715219E-2
5.695312500E3,2.434814354E-2
5.718750000E3,3.243378880E-2
5.742187500E3,9.575618547E-2
5.765625000E3,9.676062758E-2
