"Time (s)","Peak-Frequency"
3.518539875E0,1.640625000E2
3.561206542E0,4.687500000E1
3.603873208E0,3.046875000E2
3.646539875E0,2.109375000E2
3.689206542E0,2.578125000E2
3.731873208E0,2.578125000E2
3.774539875E0,2.578125000E2
3.817206542E0,1.406250000E2
3.859873208E0,2.578125000E2
3.902539875E0,3.046875000E2
3.945206542E0,3.046875000E2
3.987873208E0,3.281250000E2
4.030539875E0,3.046875000E2
4.073206542E0,2.578125000E2
4.115873208E0,2.343750000E2
4.158539875E0,3.046875000E2
4.201206542E0,2.812500000E2
4.243873208E0,3.046875000E2
4.286539875E0,3.984375000E2
4.329206542E0,2.812500000E2
4.371873208E0,2.812500000E2
4.414539875E0,3.046875000E2
4.457206542E0,3.515625000E2
4.499873208E0,1.406250000E2
4.542539875E0,2.578125000E2
4.585206542E0,2.812500000E2
4.627873208E0,2.812500000E2
4.670539875E0,2.812500000E2
4.713206542E0,1.171875000E2
4.755873208E0,4.687500000E1
4.798539875E0,2.812500000E2
4.841206542E0,2.812500000E2
4.883873208E0,1.640625000E2
4.926539875E0,2.812500000E2
4.969206542E0,2.343750000E1
5.011873208E0,3.750000000E2
5.054539875E0,3.984375000E2
5.097206542E0,2.812500000E2
5.139873208E0,3.046875000E2
5.182539875E0,3.984375000E2
5.225206542E0,3.984375000E2
5.267873208E0,2.109375000E2
5.310539875E0,2.578125000E2
5.353206542E0,1.171875000E2
5.395873208E0,7.031250000E1
5.438539875E0,2.109375000E2
5.481206542E0,4.687500000E1
5.523873208E0,3.046875000E2
5.566539875E0,3.046875000E2
5.609206542E0,3.281250000E2
5.651873208E0,2.812500000E2
5.694539875E0,2.812500000E2
5.737206542E0,2.578125000E2
5.779873208E0,2.343750000E2
5.822539875E0,2.812500000E2
5.865206542E0,2.812500000E2
5.907873208E0,4.453125000E2
5.950539875E0,2.812500000E2
5.993206542E0,3.281250000E2
6.035873208E0,2.578125000E2
6.078539875E0,3.046875000E2
6.121206542E0,3.046875000E2
6.163873208E0,3.046875000E2
6.206539875E0,4.687500000E1
6.249206542E0,2.812500000E2
6.291873208E0,2.812500000E2
6.334539875E0,3.046875000E2
6.377206542E0,2.578125000E2
6.419873208E0,2.812500000E2
6.462539875E0,3.046875000E2
6.505206542E0,4.218750000E2
6.547873208E0,2.812500000E2
6.590539875E0,3.046875000E2
6.633206542E0,4.687500000E1
6.675873208E0,2.109375000E2
6.718539875E0,4.687500000E1
6.761206542E0,3.046875000E2
6.803873208E0,2.812500000E2
6.846740333E0,2.812500000E2
6.889407000E0,4.687500000E1
6.932073667E0,2.812500000E2
6.974740333E0,4.687500000E1
7.017407000E0,4.687500000E1
7.060073667E0,2.812500000E2
7.102740333E0,4.687500000E1
7.145407000E0,3.984375000E2
7.188073667E0,2.343750000E1
7.230740333E0,4.687500000E1
7.273407000E0,1.875000000E2
7.316073667E0,2.343750000E1
7.358740333E0,2.812500000E2
7.401407000E0,2.343750000E1
7.444073667E0,1.171875000E2
7.486740333E0,4.687500000E1
7.529407000E0,3.984375000E2
7.572073667E0,2.812500000E2
7.614740333E0,4.687500000E1
7.657407000E0,7.031250000E1
7.700073667E0,2.343750000E1
7.742740333E0,2.578125000E2
7.785407000E0,4.687500000E1
7.828073667E0,4.687500000E1
7.870740333E0,4.687500000E1
7.913407000E0,2.109375000E2
7.956073667E0,2.343750000E2
7.998740333E0,2.109375000E2
8.041407000E0,3.046875000E2
8.084073667E0,7.031250000E1
8.126740333E0,2.343750000E1
8.169407000E0,2.109375000E2
8.212073667E0,2.578125000E2
8.254740333E0,7.031250000E1
8.297407000E0,2.343750000E1
8.340073667E0,4.687500000E1
8.382740333E0,4.687500000E1
8.425407000E0,3.046875000E2
8.468073667E0,2.343750000E1
8.510740333E0,2.343750000E1
8.553407000E0,4.687500000E1
8.596073667E0,4.687500000E1
8.638740333E0,7.031250000E1
8.681407000E0,3.046875000E2
8.724073667E0,2.109375000E2
8.766740333E0,2.812500000E2
8.809407000E0,2.812500000E2
8.852073667E0,7.031250000E1
8.894740333E0,7.031250000E1
8.937407000E0,1.875000000E2
8.980073667E0,7.031250000E1
9.022740333E0,7.031250000E1
9.065407000E0,1.406250000E2
9.108073667E0,4.687500000E1
9.150740333E0,1.406250000E2
9.193407000E0,4.687500000E1
9.236073667E0,4.687500000E1
9.278740333E0,4.687500000E1
9.321407000E0,2.109375000E2
9.364073667E0,1.171875000E2
9.406740333E0,4.687500000E1
9.449407000E0,4.687500000E1
9.492073667E0,4.687500000E1
9.534740333E0,2.109375000E2
9.577407000E0,1.640625000E2
9.620073667E0,1.640625000E2
9.662740333E0,2.343750000E1
9.705407000E0,2.343750000E1
9.748073667E0,4.687500000E1
9.790740333E0,2.343750000E1
9.842136625E0,7.031250000E1
9.884803292E0,2.343750000E1
9.927469958E0,2.343750000E1
9.970136625E0,4.687500000E1
1.001280329E1,2.343750000E1
1.005546996E1,2.343750000E1
1.009813662E1,4.687500000E1
1.014080329E1,2.343750000E1
1.018346996E1,2.343750000E1
1.022613662E1,2.343750000E1
1.026880329E1,4.687500000E1
1.031146996E1,9.375000000E1
1.035413662E1,2.812500000E2
1.039680329E1,2.578125000E2
1.043946996E1,1.171875000E2
1.048213662E1,4.687500000E1
1.052480329E1,2.343750000E1
1.056746996E1,4.687500000E1
1.061013662E1,3.046875000E2
1.065280329E1,2.343750000E1
1.069546996E1,6.093750000E2
1.073813662E1,1.171875000E2
1.078080329E1,4.687500000E1
1.082346996E1,3.046875000E2
1.086613662E1,2.812500000E2
1.090880329E1,2.343750000E1
1.095146996E1,2.343750000E1
1.099413662E1,2.343750000E1
1.103680329E1,1.171875000E2
1.107946996E1,2.343750000E1
1.112213662E1,7.031250000E1
1.116480329E1,4.687500000E1
1.120746996E1,7.031250000E1
1.125013662E1,4.687500000E1
1.129280329E1,4.687500000E1
1.133546996E1,1.875000000E2
1.137813662E1,2.812500000E2
1.142080329E1,2.343750000E2
1.146346996E1,2.343750000E2
1.150613662E1,4.687500000E1
1.154880329E1,2.578125000E2
1.159146996E1,2.343750000E1
1.163413662E1,2.343750000E1
1.167680329E1,4.687500000E1
1.171946996E1,4.687500000E1
1.176213662E1,2.109375000E2
1.180480329E1,2.109375000E2
1.184746996E1,4.687500000E1
1.189013662E1,2.343750000E1
1.193280329E1,2.343750000E1
1.197546996E1,2.343750000E1
1.201813662E1,2.343750000E1
1.206080329E1,4.687500000E1
1.210346996E1,2.343750000E1
1.214613662E1,2.109375000E2
1.218880329E1,1.875000000E2
1.223146996E1,2.109375000E2
1.227413662E1,2.578125000E2
1.231680329E1,4.687500000E1
1.235946996E1,2.578125000E2
1.240213662E1,2.343750000E2
1.244480329E1,2.343750000E1
1.248746996E1,2.109375000E2
1.253013662E1,4.687500000E1
1.257280329E1,2.109375000E2
1.261546996E1,4.687500000E1
1.265813662E1,2.343750000E1
1.270080329E1,2.109375000E2
1.274346996E1,2.109375000E2
1.278613662E1,2.109375000E2
1.282880329E1,1.640625000E2
1.287146996E1,2.343750000E2
1.291413662E1,3.046875000E2
1.295680329E1,2.109375000E2
1.299946996E1,1.406250000E2
1.304213662E1,2.578125000E2
1.308480329E1,9.375000000E1
1.312746996E1,4.687500000E1
1.317013662E1,2.343750000E1
1.321280329E1,2.109375000E2
1.325546996E1,4.687500000E1
1.329813662E1,2.343750000E1
1.334080329E1,4.687500000E1
