"Time (s)","Recording (a.u.)"
3.041666667E-3,-4.516192526E-2
3.062500000E-3,-4.713281244E-2
3.083333333E-3,-4.845892638E-2
3.104166667E-3,-4.918718711E-2
3.125000000E-3,-4.952290282E-2
3.145833333E-3,-5.016160384E-2
3.166666667E-3,-5.116872117E-2
3.187500000E-3,-5.218837783E-2
3.208333333E-3,-5.359666795E-2
3.229166667E-3,-5.477422476E-2
3.250000000E-3,-5.456893891E-2
3.270833333E-3,-5.337404832E-2
3.291666667E-3,-5.213715509E-2
3.312500000E-3,-5.067595094E-2
3.333333333E-3,-4.936388135E-2
3.354166667E-3,-4.890656844E-2
3.375000000E-3,-4.874078184E-2
3.395833333E-3,-4.859790951E-2
3.416666667E-3,-4.839835316E-2
3.437500000E-3,-4.807265848E-2
3.458333333E-3,-4.686229303E-2
3.479166667E-3,-4.417121783E-2
3.500000000E-3,-4.118067399E-2
3.520833333E-3,-3.879082948E-2
3.541666667E-3,-3.793963790E-2
3.562500000E-3,-3.906458616E-2
3.583333333E-3,-4.149889573E-2
3.604166667E-3,-4.402239248E-2
3.625000000E-3,-4.510917515E-2
3.645833333E-3,-4.506990314E-2
3.666666667E-3,-4.437484592E-2
3.687500000E-3,-4.359892011E-2
3.708333333E-3,-4.381003231E-2
3.729166667E-3,-4.421470314E-2
3.750000000E-3,-4.412294924E-2
3.770833333E-3,-4.367616028E-2
3.791666667E-3,-4.285236448E-2
3.812500000E-3,-4.166388884E-2
3.833333333E-3,-4.062470794E-2
3.854166667E-3,-4.020830616E-2
3.875000000E-3,-4.005102068E-2
3.895833333E-3,-4.040773958E-2
3.916666667E-3,-4.057746753E-2
3.937500000E-3,-3.972013667E-2
3.958333333E-3,-3.953011334E-2
3.979166667E-3,-3.995253146E-2
4.000000000E-3,-4.019606486E-2
4.020833333E-3,-4.144211113E-2
4.041666667E-3,-4.296426848E-2
4.062500000E-3,-4.375486076E-2
4.083333333E-3,-4.419118911E-2
4.104166667E-3,-4.432635382E-2
4.125000000E-3,-4.418032989E-2
4.145833333E-3,-4.391906410E-2
4.166666667E-3,-4.448606074E-2
4.187500000E-3,-4.503028840E-2
4.208333333E-3,-4.382691532E-2
4.229166667E-3,-4.197284207E-2
4.250000000E-3,-3.976257145E-2
4.270833333E-3,-3.703982756E-2
4.291666667E-3,-3.533529490E-2
4.312500000E-3,-3.473404422E-2
4.333333333E-3,-3.431860358E-2
4.354166667E-3,-3.395804018E-2
4.375000000E-3,-3.398095071E-2
4.395833333E-3,-3.381637484E-2
4.416666667E-3,-3.286689892E-2
4.437500000E-3,-3.252260387E-2
4.458333333E-3,-3.297233582E-2
4.479166667E-3,-3.286610916E-2
4.500000000E-3,-3.265622258E-2
4.520833333E-3,-3.255917504E-2
4.541666667E-3,-3.131005913E-2
4.562500000E-3,-2.925481275E-2
4.583333333E-3,-2.724990435E-2
4.604166667E-3,-2.480677515E-2
4.625000000E-3,-2.308979630E-2
4.645833333E-3,-2.224371955E-2
4.666666667E-3,-2.058007009E-2
4.687500000E-3,-1.953380741E-2
4.708333333E-3,-1.960144751E-2
4.729166667E-3,-1.921516843E-2
4.750000000E-3,-1.869290322E-2
4.770833333E-3,-1.806963608E-2
4.791666667E-3,-1.681905054E-2
4.812500000E-3,-1.553409919E-2
4.833333333E-3,-1.453443430E-2
4.854166667E-3,-1.364542451E-2
4.875000000E-3,-1.351062022E-2
4.895833333E-3,-1.399913244E-2
4.916666667E-3,-1.445588749E-2
4.937500000E-3,-1.530881692E-2
4.958333333E-3,-1.554531232E-2
4.979166667E-3,-1.443370245E-2
5.000000000E-3,-1.369824819E-2
5.020833333E-3,-1.362400874E-2
5.041666667E-3,-1.334282942E-2
5.062500000E-3,-1.275079325E-2
5.083333333E-3,-1.163618453E-2
5.104166667E-3,-1.050361618E-2
5.125000000E-3,-1.021137089E-2
5.145833333E-3,-1.070898399E-2
5.166666667E-3,-1.186566241E-2
5.187500000E-3,-1.332631148E-2
5.208333333E-3,-1.399610937E-2
5.229166667E-3,-1.349209994E-2
5.250000000E-3,-1.198665518E-2
5.270833333E-3,-9.897636250E-3
5.291666667E-3,-8.437787183E-3
5.312500000E-3,-8.018800989E-3
5.333333333E-3,-8.137557656E-3
5.354166667E-3,-8.404076099E-3
5.375000000E-3,-8.617108688E-3
5.395833333E-3,-8.835757151E-3
5.416666667E-3,-8.795920759E-3
5.437500000E-3,-8.046235889E-3
5.458333333E-3,-7.042543031E-3
5.479166667E-3,-6.262494251E-3
5.500000000E-3,-5.382626317E-3
5.520833333E-3,-4.571387544E-3
5.541666667E-3,-3.814438824E-3
5.562500000E-3,-2.920681378E-3
5.583333333E-3,-2.293989528E-3
5.604166667E-3,-1.943854615E-3
5.625000000E-3,-1.622541342E-3
5.645833333E-3,-7.308007916E-4
5.666666667E-3,9.861157741E-4
5.687500000E-3,3.085738979E-3
5.708333333E-3,5.627181847E-3
5.729166667E-3,8.086642250E-3
5.750000000E-3,9.393988177E-3
5.770833333E-3,1.018942799E-2
5.791666667E-3,1.127860043E-2
5.812500000E-3,1.218632795E-2
5.833333333E-3,1.290135458E-2
5.854166667E-3,1.358218491E-2
5.875000000E-3,1.401760429E-2
5.895833333E-3,1.400248893E-2
5.916666667E-3,1.396882720E-2
5.937500000E-3,1.462466177E-2
5.958333333E-3,1.531768497E-2
5.979166667E-3,1.543630101E-2
6.000000000E-3,1.543565653E-2
6.020833333E-3,1.511878520E-2
6.041666667E-3,1.423116587E-2
6.062500000E-3,1.355960220E-2
6.083333333E-3,1.286901440E-2
6.104166667E-3,1.157579478E-2
6.125000000E-3,1.069588773E-2
6.145833333E-3,1.029309537E-2
6.166666667E-3,1.034784317E-2
6.187500000E-3,1.162358001E-2
6.208333333E-3,1.292363182E-2
6.229166667E-3,1.396882534E-2
6.250000000E-3,1.601164043E-2
6.270833333E-3,1.821446791E-2
6.291666667E-3,1.918817312E-2
6.312500000E-3,1.902219653E-2
6.333333333E-3,1.817241870E-2
6.354166667E-3,1.701673120E-2
6.375000000E-3,1.655555703E-2
6.395833333E-3,1.715467870E-2
6.416666667E-3,1.791124791E-2
6.437500000E-3,1.827656664E-2
6.458333333E-3,1.827413775E-2
6.479166667E-3,1.832983643E-2
6.500000000E-3,1.842731982E-2
6.520833333E-3,1.844927855E-2
6.541666667E-3,1.899117418E-2
6.562500000E-3,1.916204952E-2
6.583333333E-3,1.822671853E-2
6.604166667E-3,1.735839993E-2
6.625000000E-3,1.657157019E-2
6.645833333E-3,1.548246481E-2
6.666666667E-3,1.497187093E-2
6.687500000E-3,1.510178857E-2
6.708333333E-3,1.495888270E-2
6.729166667E-3,1.411190070E-2
6.750000000E-3,1.260843500E-2
6.770833333E-3,1.064351946E-2
6.791666667E-3,8.480728604E-3
6.812500000E-3,6.630894262E-3
6.833333333E-3,5.370727275E-3
6.854166667E-3,4.323887639E-3
6.875000000E-3,3.210157622E-3
6.895833333E-3,1.966208452E-3
6.916666667E-3,5.142727168E-4
6.937500000E-3,-1.085977070E-3
6.958333333E-3,-2.609733958E-3
6.979166667E-3,-3.982859664E-3
7.000000000E-3,-5.426418036E-3
7.020833333E-3,-6.407882553E-3
7.041666667E-3,-6.542101502E-3
7.062500000E-3,-6.438839249E-3
7.083333333E-3,-5.849722307E-3
7.104166667E-3,-5.120025016E-3
7.125000000E-3,-5.069140345E-3
7.145833333E-3,-5.185607355E-3
7.166666667E-3,-5.454245955E-3
7.187500000E-3,-5.955944769E-3
7.208333333E-3,-6.202034652E-3
7.229166667E-3,-6.163692102E-3
7.250000000E-3,-6.033056416E-3
7.270833333E-3,-5.882587750E-3
7.291666667E-3,-5.875228904E-3
7.312500000E-3,-5.665457342E-3
7.333333333E-3,-4.940537270E-3
7.354166667E-3,-4.366586916E-3
7.375000000E-3,-3.818158526E-3
7.395833333E-3,-2.823510673E-3
7.416666667E-3,-1.579993870E-3
7.437500000E-3,8.573103696E-5
7.458333333E-3,2.150712069E-3
7.479166667E-3,4.106960725E-3
7.500000000E-3,5.480098538E-3
7.520833333E-3,6.109935232E-3
7.541666667E-3,6.123390514E-3
7.562500000E-3,6.040452514E-3
7.583333333E-3,6.389615592E-3
7.604166667E-3,7.045828737E-3
7.625000000E-3,7.933239453E-3
7.645833333E-3,8.875120431E-3
7.666666667E-3,9.620830417E-3
7.687500000E-3,1.006744988E-2
7.708333333E-3,9.882831946E-3
7.729166667E-3,9.325389750E-3
7.750000000E-3,8.572699502E-3
7.770833333E-3,7.581814192E-3
7.791666667E-3,7.090660743E-3
7.812500000E-3,7.186646108E-3
7.833333333E-3,7.266719826E-3
7.854166667E-3,7.166681811E-3
7.875000000E-3,6.860692985E-3
7.895833333E-3,6.301456131E-3
7.916666667E-3,5.668192171E-3
7.937500000E-3,5.392473191E-3
7.958333333E-3,5.131648853E-3
7.979166667E-3,4.364324734E-3
8.000000000E-3,3.511582268E-3
8.020833333E-3,2.145685023E-3
8.041666667E-3,5.637790309E-5
8.062500000E-3,-1.489631832E-3
8.083333333E-3,-2.270832891E-3
8.104166667E-3,-2.717704047E-3
8.125000000E-3,-2.733487170E-3
8.145833333E-3,-2.223765012E-3
8.166666667E-3,-1.625491073E-3
8.187500000E-3,-1.496186014E-3
8.208333333E-3,-1.601513941E-3
8.229166667E-3,-1.829661196E-3
8.250000000E-3,-2.139221644E-3
8.270833333E-3,-1.977772685E-3
8.291666667E-3,-8.990938077E-4
8.312500000E-3,9.157527238E-4
8.333333333E-3,2.631942276E-3
8.354166667E-3,4.031840246E-3
8.375000000E-3,5.306255072E-3
8.395833333E-3,5.924003199E-3
8.416666667E-3,6.387264468E-3
8.437500000E-3,7.304917090E-3
8.458333333E-3,7.655467838E-3
8.479166667E-3,7.638987154E-3
8.500000000E-3,7.893122733E-3
8.520833333E-3,7.742107846E-3
8.541666667E-3,7.533740252E-3
8.562500000E-3,7.860718295E-3
8.583333333E-3,7.973067462E-3
8.604166667E-3,7.975832559E-3
8.625000000E-3,8.458476514E-3
8.645833333E-3,8.966154419E-3
8.666666667E-3,9.595256299E-3
8.687500000E-3,1.032143272E-2
8.708333333E-3,1.044566743E-2
8.729166667E-3,1.039499417E-2
8.750000000E-3,1.072491426E-2
8.770833333E-3,1.094496343E-2
8.791666667E-3,1.099754311E-2
8.812500000E-3,1.113216672E-2
8.833333333E-3,1.093967445E-2
8.854166667E-3,1.048628148E-2
8.875000000E-3,1.040235721E-2
8.895833333E-3,1.080539916E-2
8.916666667E-3,1.140321605E-2
8.937500000E-3,1.213082299E-2
8.958333333E-3,1.278544310E-2
8.979166667E-3,1.320029702E-2
9.000000000E-3,1.375305653E-2
9.020833333E-3,1.418156363E-2
9.041666667E-3,1.427719928E-2
9.062500000E-3,1.459087431E-2
9.083333333E-3,1.499784924E-2
9.104166667E-3,1.496268623E-2
9.125000000E-3,1.466680318E-2
9.145833333E-3,1.429524925E-2
9.166666667E-3,1.358946320E-2
9.187500000E-3,1.273321453E-2
9.208333333E-3,1.182324439E-2
9.229166667E-3,1.077973749E-2
9.250000000E-3,1.003990974E-2
9.270833333E-3,9.887894616E-3
9.291666667E-3,9.971136227E-3
9.312500000E-3,9.887852706E-3
9.333333333E-3,9.465876967E-3
9.354166667E-3,8.635793813E-3
9.375000000E-3,7.732448168E-3
9.395833333E-3,7.051975932E-3
9.416666667E-3,6.545056589E-3
9.437500000E-3,6.117373705E-3
9.458333333E-3,5.549593829E-3
9.479166667E-3,4.614762031E-3
9.500000000E-3,3.602920100E-3
