"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701534900445000E9,"2023-12-02 11:35:00.445 UTC-05:00"
"PAUSE",6.593708737500128E1,1.701534966382000E9,"2023-12-02 11:36:06.382 UTC-05:00"
