"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.429687500E3,1.038629949E-1
4.453125000E3,6.457511691E-2
4.476562500E3,9.871937412E-2
4.500000000E3,5.881207739E-2
4.523437500E3,7.823001822E-2
4.546875000E3,2.802034179E-2
4.570312500E3,7.941898403E-2
4.593750000E3,1.235719286E-1
4.617187500E3,6.406964952E-2
4.640625000E3,3.785332883E-2
4.664062500E3,1.906630478E-2
4.687500000E3,3.954750951E-2
4.710937500E3,1.728722808E-2
4.734375000E3,1.124244477E-1
4.757812500E3,8.465807081E-2
4.781250000E3,7.623166981E-2
4.804687500E3,2.857883391E-2
4.828125000E3,6.401455108E-2
4.851562500E3,9.342868733E-2
4.875000000E3,3.975848566E-2
4.898437500E3,9.512621933E-2
4.921875000E3,5.441357861E-2
4.945312500E3,7.515135516E-2
4.968750000E3,7.096206148E-2
4.992187500E3,3.914070049E-2
5.015625000E3,8.611905425E-2
5.039062500E3,5.512536674E-2
5.062500000E3,1.059041995E-1
5.085937500E3,6.809930099E-2
5.109375000E3,6.842303605E-2
5.132812500E3,7.947109433E-2
5.156250000E3,8.651897204E-2
5.179687500E3,2.857796135E-2
5.203125000E3,9.427467810E-2
5.226562500E3,5.492544758E-2
5.250000000E3,8.993618758E-2
5.273437500E3,4.773703983E-2
5.296875000E3,6.754788290E-2
5.320312500E3,4.061434608E-2
5.343750000E3,4.902532169E-2
5.367187500E3,5.275814223E-2
5.390625000E3,6.807430177E-2
5.414062500E3,9.298072607E-2
5.437500000E3,3.360092407E-2
5.460937500E3,7.744384346E-2
5.484375000E3,8.958121129E-2
5.507812500E3,1.193107578E-1
5.531250000E3,6.985323596E-2
5.554687500E3,3.190449051E-2
5.578125000E3,5.876468441E-2
5.601562500E3,7.041871462E-2
5.625000000E3,3.256332006E-2
5.648437500E3,4.933418712E-2
5.671875000E3,6.539926646E-2
5.695312500E3,4.958268067E-2
5.718750000E3,1.007981985E-1
5.742187500E3,8.250369310E-2
5.765625000E3,7.651406115E-2
5.789062500E3,7.003022635E-2
5.812500000E3,6.335916337E-2
5.835937500E3,3.405114098E-2
5.859375000E3,7.394633722E-2
5.882812500E3,5.985847765E-2
5.906250000E3,4.809286087E-2
5.929687500E3,7.143232788E-2
5.953125000E3,4.933710430E-2
5.976562500E3,5.121042842E-2
6.000000000E3,8.438103298E-2
6.023437500E3,6.035547870E-2
6.046875000E3,5.394392273E-2
6.070312500E3,4.622155625E-2
6.093750000E3,5.098789379E-2
6.117187500E3,4.282754905E-2
6.140625000E3,3.437233693E-2
6.164062500E3,3.692372004E-2
6.187500000E3,6.973121358E-2
6.210937500E3,6.669527329E-2
6.234375000E3,8.173146413E-2
6.257812500E3,3.924079780E-2
6.281250000E3,4.191406963E-2
6.304687500E3,7.335372785E-2
6.328125000E3,6.036660073E-2
6.351562500E3,5.402537956E-2
6.375000000E3,7.066042470E-2
6.398437500E3,2.699008818E-2
6.421875000E3,6.235740876E-2
6.445312500E3,6.072565675E-2
6.468750000E3,4.960290095E-2
6.492187500E3,3.002445441E-2
6.515625000E3,3.660217643E-2
6.539062500E3,4.183992195E-2
6.562500000E3,3.168242770E-2
6.585937500E3,5.005441756E-2
6.609375000E3,5.853918142E-2
6.632812500E3,5.844218816E-2
6.656250000E3,3.680851306E-2
6.679687500E3,5.809026082E-2
6.703125000E3,4.786663175E-2
6.726562500E3,4.018008037E-2
6.750000000E3,7.993139175E-2
6.773437500E3,6.285055154E-2
6.796875000E3,4.378462267E-2
6.820312500E3,4.904217213E-2
6.843750000E3,5.313606525E-2
6.867187500E3,3.869646066E-2
6.890625000E3,5.842529879E-2
6.914062500E3,2.858001623E-2
6.937500000E3,3.234084973E-2
6.960937500E3,3.378771921E-2
6.984375000E3,5.484011476E-2
7.007812500E3,5.215173808E-2
7.031250000E3,6.283343699E-2
7.054687500E3,3.630545748E-2
7.078125000E3,5.664478159E-2
7.101562500E3,3.536950972E-2
7.125000000E3,4.739744764E-2
7.148437500E3,6.644738424E-2
7.171875000E3,4.136354107E-2
7.195312500E3,5.425413039E-2
7.218750000E3,5.492328169E-2
7.242187500E3,2.440100762E-2
7.265625000E3,3.669680148E-2
7.289062500E3,5.117474509E-2
7.312500000E3,7.988515573E-2
7.335937500E3,6.899864141E-2
7.359375000E3,7.156199276E-2
7.382812500E3,3.104210401E-2
7.406250000E3,5.174643390E-2
7.429687500E3,6.590189987E-2
7.453125000E3,4.289720167E-2
7.476562500E3,4.390146709E-2
7.500000000E3,6.194228102E-2
7.523437500E3,5.454981838E-2
7.546875000E3,4.305260137E-2
7.570312500E3,3.511385762E-2
7.593750000E3,4.964319382E-2
7.617187500E3,5.825576905E-2
7.640625000E3,3.940622030E-2
7.664062500E3,5.288490057E-2
7.687500000E3,1.583746428E-2
7.710937500E3,5.492015140E-2
7.734375000E3,4.329912935E-2
7.757812500E3,4.852171577E-2
7.781250000E3,5.029228170E-2
7.804687500E3,3.922804070E-2
7.828125000E3,2.675092703E-2
7.851562500E3,6.556333270E-2
7.875000000E3,3.393359246E-2
7.898437500E3,7.628098885E-2
7.921875000E3,3.441623285E-2
7.945312500E3,3.885749730E-2
7.968750000E3,5.243505291E-2
7.992187500E3,4.391715065E-2
8.015625000E3,5.178220797E-2
8.039062500E3,4.613004224E-2
8.062500000E3,3.743013077E-2
8.085937500E3,5.178707195E-2
8.109375000E3,4.317698572E-2
8.132812500E3,4.359884629E-2
8.156250000E3,5.845488051E-2
8.179687500E3,3.124828839E-2
8.203125000E3,2.923604458E-2
8.226562500E3,5.149543388E-2
8.250000000E3,5.660385845E-2
8.273437500E3,3.465815726E-2
8.296875000E3,3.496408974E-2
8.320312500E3,3.564768476E-2
8.343750000E3,6.198365194E-2
8.367187500E3,2.840701785E-2
8.390625000E3,5.280911043E-2
8.414062500E3,5.207993866E-2
8.437500000E3,2.462553303E-2
8.460937500E3,4.149792784E-2
8.484375000E3,2.963997557E-2
8.507812500E3,3.663609326E-2
8.531250000E3,3.741523654E-2
8.554687500E3,4.864264578E-2
8.578125000E3,3.735887550E-2
8.601562500E3,3.058764653E-2
8.625000000E3,4.892256853E-2
8.648437500E3,6.059582591E-2
8.671875000E3,4.805633460E-2
8.695312500E3,3.425866712E-2
8.718750000E3,5.485688863E-2
8.742187500E3,4.213648509E-2
8.765625000E3,5.120930728E-2
8.789062500E3,3.467178699E-2
8.812500000E3,3.692427935E-2
8.835937500E3,4.511081762E-2
8.859375000E3,5.458682370E-2
8.882812500E3,3.691806040E-2
8.906250000E3,4.393433885E-2
8.929687500E3,4.584982285E-2
8.953125000E3,4.874968459E-2
8.976562500E3,2.457445570E-2
9.000000000E3,3.521908449E-2
9.023437500E3,5.109276286E-2
9.046875000E3,5.179186732E-2
9.070312500E3,4.930110604E-2
9.093750000E3,3.750754727E-2
9.117187500E3,4.690408764E-2
9.140625000E3,2.915159253E-2
9.164062500E3,2.451692408E-2
9.187500000E3,4.308257925E-2
9.210937500E3,3.905845506E-2
9.234375000E3,4.449803431E-2
9.257812500E3,5.772514077E-2
9.281250000E3,3.515533179E-2
9.304687500E3,4.505596077E-2
9.328125000E3,3.851760581E-2
9.351562500E3,2.995159059E-2
9.375000000E3,4.000873162E-2
9.398437500E3,4.815802777E-2
9.421875000E3,4.454705520E-2
9.445312500E3,1.853615154E-2
9.468750000E3,5.241456372E-2
9.492187500E3,2.930590904E-2
9.515625000E3,3.686050859E-2
9.539062500E3,2.819531142E-2
9.562500000E3,3.105138324E-2
9.585937500E3,4.608598081E-2
9.609375000E3,3.860192462E-2
9.632812500E3,4.681577508E-2
9.656250000E3,1.418409136E-2
9.679687500E3,4.233090062E-2
9.703125000E3,2.962294567E-2
9.726562500E3,4.311912775E-2
9.750000000E3,4.097129581E-2
9.773437500E3,3.563354232E-2
9.796875000E3,3.956127327E-2
9.820312500E3,4.333748517E-2
9.843750000E3,3.389131085E-2
9.867187500E3,2.177782741E-2
9.890625000E3,4.337332551E-2
9.914062500E3,3.001470307E-2
9.937500000E3,4.144574338E-2
9.960937500E3,3.675546449E-2
9.984375000E3,1.857492770E-2
1.000781250E4,3.373023052E-2
1.003125000E4,2.892215880E-2
1.005468750E4,3.149436046E-2
1.007812500E4,4.320248408E-2
1.010156250E4,3.982813866E-2
1.012500000E4,2.818947961E-2
1.014843750E4,4.378388793E-2
1.017187500E4,3.549028905E-2
1.019531250E4,4.429011231E-2
1.021875000E4,4.618550331E-2
