"Time (s)","Recording (a.u.)"
3.208333333E-3,2.389802039E-2
3.229166667E-3,2.331633493E-2
3.250000000E-3,2.298553288E-2
3.270833333E-3,2.283252403E-2
3.291666667E-3,2.232010663E-2
3.312500000E-3,2.216353267E-2
3.333333333E-3,2.298154309E-2
3.354166667E-3,2.376146428E-2
3.375000000E-3,2.394406125E-2
3.395833333E-3,2.423411421E-2
3.416666667E-3,2.435575612E-2
3.437500000E-3,2.496238239E-2
3.458333333E-3,2.643262781E-2
3.479166667E-3,2.712871134E-2
3.500000000E-3,2.700672671E-2
3.520833333E-3,2.696240507E-2
3.541666667E-3,2.696232870E-2
3.562500000E-3,2.663137764E-2
3.583333333E-3,2.613267675E-2
3.604166667E-3,2.554089762E-2
3.625000000E-3,2.455752343E-2
3.645833333E-3,2.456742711E-2
3.666666667E-3,2.545470931E-2
3.687500000E-3,2.552532032E-2
3.708333333E-3,2.549514920E-2
3.729166667E-3,2.554846182E-2
3.750000000E-3,2.549656481E-2
3.770833333E-3,2.534309402E-2
3.791666667E-3,2.466350421E-2
3.812500000E-3,2.450989932E-2
3.833333333E-3,2.486734465E-2
3.854166667E-3,2.464291453E-2
3.875000000E-3,2.380001917E-2
3.895833333E-3,2.276511677E-2
3.916666667E-3,2.179521695E-2
3.937500000E-3,2.093209326E-2
3.958333333E-3,2.035117708E-2
3.979166667E-3,1.973646693E-2
4.000000000E-3,1.899855770E-2
4.020833333E-3,1.819360629E-2
4.041666667E-3,1.753101312E-2
4.062500000E-3,1.745331846E-2
4.083333333E-3,1.736596040E-2
4.104166667E-3,1.713299938E-2
4.125000000E-3,1.702191308E-2
4.145833333E-3,1.723838598E-2
4.166666667E-3,1.762393117E-2
4.187500000E-3,1.781111211E-2
4.208333333E-3,1.808843017E-2
4.229166667E-3,1.768268831E-2
4.250000000E-3,1.668617874E-2
4.270833333E-3,1.550571434E-2
4.291666667E-3,1.388020068E-2
4.312500000E-3,1.276612654E-2
4.333333333E-3,1.224243734E-2
4.354166667E-3,1.206683554E-2
4.375000000E-3,1.197670028E-2
4.395833333E-3,1.195386052E-2
4.416666667E-3,1.215038449E-2
4.437500000E-3,1.221978851E-2
4.458333333E-3,1.174739562E-2
4.479166667E-3,1.053654123E-2
4.500000000E-3,1.032677479E-2
4.520833333E-3,1.032830216E-2
4.541666667E-3,9.599521756E-3
4.562500000E-3,9.292557836E-3
4.583333333E-3,8.716588840E-3
4.604166667E-3,8.493282832E-3
4.625000000E-3,8.548216894E-3
4.645833333E-3,8.121816441E-3
4.666666667E-3,7.490974851E-3
4.687500000E-3,6.957373582E-3
4.708333333E-3,6.379660219E-3
4.729166667E-3,5.197405349E-3
4.750000000E-3,4.576111678E-3
4.770833333E-3,4.613288678E-3
4.791666667E-3,4.581995774E-3
4.812500000E-3,4.710202105E-3
4.833333333E-3,4.743219819E-3
4.854166667E-3,4.744750448E-3
4.875000000E-3,4.952728748E-3
