"property","value"
"version","1.1.12"
"build","11156"
"fileFormat","1.16"
"deviceModel","iPhone11,8"
"deviceBrand","Apple"
"deviceBoard",""
"deviceManufacturer",""
"deviceBaseOS",""
"deviceCodename",""
"deviceRelease","17.1.2"
"depthFrontSensor","1"
"depthFrontResolution",""
"depthFrontRate",""
"depthBackSensor","0"
"depthBackResolution",""
"depthBackRate",""
