"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.406250000E3,1.074497830E-1
4.429687500E3,1.321418337E-1
4.453125000E3,1.266191279E-1
4.476562500E3,3.663746562E-2
4.500000000E3,1.127065228E-1
4.523437500E3,1.379073828E-1
4.546875000E3,1.514958770E-2
4.570312500E3,1.886614196E-1
4.593750000E3,9.702906186E-2
4.617187500E3,1.353616138E-1
4.640625000E3,2.809431027E-2
4.664062500E3,7.230035567E-2
4.687500000E3,7.950346226E-2
4.710937500E3,9.706246889E-2
4.734375000E3,3.842402301E-2
4.757812500E3,3.687446986E-2
4.781250000E3,1.052271425E-1
4.804687500E3,1.476955634E-2
4.828125000E3,7.827674717E-2
4.851562500E3,4.934676551E-2
4.875000000E3,2.595198639E-2
4.898437500E3,2.367857531E-2
4.921875000E3,5.035610830E-2
4.945312500E3,1.261525383E-1
4.968750000E3,8.455958618E-2
4.992187500E3,5.390450816E-2
5.015625000E3,2.395300591E-2
5.039062500E3,3.855628338E-2
5.062500000E3,3.322885863E-2
5.085937500E3,3.505936221E-2
5.109375000E3,2.761598007E-2
5.132812500E3,5.397016590E-2
5.156250000E3,8.164018913E-2
5.179687500E3,7.774264995E-2
5.203125000E3,7.966085630E-2
5.226562500E3,6.327616959E-2
5.250000000E3,6.383647860E-2
5.273437500E3,4.375201602E-2
5.296875000E3,4.486283953E-2
5.320312500E3,6.450414773E-2
5.343750000E3,7.989011529E-2
5.367187500E3,3.921468746E-2
5.390625000E3,6.558937613E-2
5.414062500E3,4.723477866E-3
5.437500000E3,7.297285323E-2
5.460937500E3,3.636255825E-2
5.484375000E3,3.353374450E-2
5.507812500E3,3.373010515E-2
5.531250000E3,8.466629160E-2
5.554687500E3,1.443467878E-2
5.578125000E3,4.723852616E-3
5.601562500E3,2.723690388E-2
5.625000000E3,2.853197710E-2
5.648437500E3,7.959752083E-2
5.671875000E3,1.895594332E-2
5.695312500E3,6.201491053E-2
5.718750000E3,2.544509545E-2
5.742187500E3,3.621097810E-2
5.765625000E3,1.974024002E-2
5.789062500E3,5.184753214E-2
5.812500000E3,2.315685320E-2
5.835937500E3,9.874561469E-2
5.859375000E3,2.707354809E-2
5.882812500E3,8.317571822E-2
5.906250000E3,2.158380916E-2
5.929687500E3,4.431334989E-2
5.953125000E3,7.719631201E-2
5.976562500E3,3.101409079E-2
6.000000000E3,7.298113684E-2
6.023437500E3,1.192934129E-1
6.046875000E3,7.277256445E-2
6.070312500E3,4.636502299E-2
6.093750000E3,2.150057814E-2
6.117187500E3,6.202282586E-2
6.140625000E3,3.215861750E-2
6.164062500E3,1.979043326E-2
6.187500000E3,2.527487647E-2
6.210937500E3,5.290222964E-2
6.234375000E3,1.444471873E-2
6.257812500E3,5.786589400E-2
6.281250000E3,3.976626308E-2
6.304687500E3,2.666535039E-2
