"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.701533433992000E9,"2023-12-02 11:10:33.992 UTC-05:00"
"PAUSE",3.706918587494874E1,1.701533471061000E9,"2023-12-02 11:11:11.061 UTC-05:00"
